verbo,pasado,participio,traduccion
arise,arose,arisen,levantarse
be,was/were,been,ser o estar
bear,bear,borne,soportar
beat,beat,beaten,vencer/derrotar
become,became,become,llegar a ser/hacerse
begin ,began,begun,empezar
behold,beheld,beheld,contemplar
bend,bent,bent,inclinar/torcer
bet,bet,bet,apostar
bid,bade,bidden,mandar/ordenar
bind,bound,bound,atar/liar
bite,bit,bitten,morder
bleed,bled,bled,sangrar/desangrar
blow,blew,blown,soplar
break,broke,broken,romper
breed,bred,bred,criar(animales)
bring,brought,brought,traer
build,built,built,edificar/construir
burn,burnt,burnt,quemar
burst,burst,burst,reventar/romper
buy,bought,bought,comprar
cast,cast,cast,echar/arrojar
catch,caught,caught,coger/atrapar
choose,chose,chosen,elegir/seleccionar
cling,clung,clung,agarrarse a
come,came,come,venir
cost,cost,cost,costar
creep,crept,crept,trepar/arrastrarse
cut,cut,cut,cortar
eat,ate,eaten,comer
fall,fell,fallen,caer
feed,fed,fed,alimentar
feel,felt,felt,sentir
fight,fought,fought,pelear
find,found,found,encontrar
fit,fitted,fitted,ajustar/encajar
flee,fled,fled,abandonar
fling,flung,flung,arrojar
fly,flew,flown,volar
forbid,forbade,forbidden,prohibir
foretell,foretold,foretold,preceder/pronosticar
forget,forgot,forgotten,olvidar
forgive,forgave,forgiven,perdonar
forsake,forsook,forsaken,abandonar/renunciar
freeze,froze,frozen,congelar/helar
get,got,gotten,conseguir
give,gave,given,dar/conceder
go,went,gone,ir/andar
grind,ground,ground,moler
grow,grew,grown,cultivar/crecer
hang,hung,hung,colgar/suspender
have/has,had,had,tener
hear,heard,heard,escuchar/oir
hide,hid,hidden,esconder/ocultar
hit,hit,hit,golpear
hold,held,held,sujetar/sostener
hurt,hurt,hurt,lastimar
keep,kept,kept,mantenerse
kneel,knelt,knelt,arrodillarse
knit,knit,knit,tejer
know,knew,known,conocer
lay,laid,laid,poner/colocar
lead,led,led,llevar/dirigir
lean,lent,lent,apoyar algo
leap,leapt,leapt,saltar
learn,learnt,learnt,aprender
leave,left,left,salir
lend,lent,lent,prestar
let,let,let,prestar
lie,lay,lain,reposar
light,lit,lit,encender/prender
lose,lost,lost,perder
make,made,made,hacer/fabricar
mean,meant,meant,significar/querer decir
meet,met,met,reunir
mislead,misled,misled,engañar
mistake,mistook,mistaken,errar
mow,mowed,mown,cortar
outdo,outdid,outdone,superar
overhear,overhear,overhear,oir por casualidad
overtake,overtook,overtaken,sobrepasar
pay,paid,paid,pagar
prove,prove,proven,comprobar
put,put,put,poner
quit,quit,quit,renunciar/desistir
read,read,read,leer
rend,rent,rent,rasgar
ride,rode,ridden,montar/pasear
ring,rang,rung,sonar/tocar
rise,rose,risen,levantarse/subir
run,ran,run,correr
saw,sawed,sawn,aserrar
say,said,said,decir
see,saw,seen,ver
seek,sought,sought,buscar/solicitar
sell,sold,sold,vender
send,sent,sent,enviar
set,set,set,poner/colocar
shake,shook,shaken,sacudir/agitar/batir
shed,shed,shed,mudar de piel
shine,shone,shone,brillar
shoot,shot,shot,disparar
shred,shred,shred,hacer trizas
shrink,shrank,shrunk,encogerse/reducirse
shut,shut,shut,cerrar
sing,sang,sung,cantar
sink,sank,sunk,hundir
sit,sat,sat,sentarse
slay,slew,slain,matar
sleep,slept,slept,dormir
slide,slid,slid,resbalar/deslizar
slit,slit,slit,rajar/cortar
smell,smell,smell,oler
speak,spoke,spoken,hablar
speed,sped,sped,acelerarse
spell,spelt,spelt,deletrear
spend,spent,spent,gastar/pasar tiempo
spill,spilt,spilt,derramar
spin,spun,spun,girar/dar vueltas
split,split,split,dividir/separar
spread,spread,spread,esparcir/propagar
spring,sprang,sprung,saltar/brincar
stand,stood,stood,estar de pie
steal,stole,stolen,robar
stick,stuck,stuck,pegarse/meter/poner
sting,stung,stung,picadura de insecto
sting,stank,stunk,apestar
stride,strode,stridden,dar zanzadas
strike,struck,struck,golpear/pegar
string,strung,strung,ensartar
strive,strove,striven,luchar por hacer algo
swear,swore,sworn,jurar
sweat,sweat,sweat,sudar
sweep,swept,swept,barrer
swell,swelled,swollen,inflamarse
swim,swam,swum,nadar
swing,swung,swung,mecer/columpiar
take,took,taken,tomar/llevar
teach,taught,taught,enseñar
tear,tore,torn,"rasgar,romper"
tell,told,told,decir/narrar
think,thought,thought,pensar
thrive,throve,thriven,prosperar
throw,threw,thrown,lanzar/tirar/arrojar
understand,understood,understood,entender
undertake,undertook,undertaken,emprender
uphold,upheld,upheld,sostener
wake,woke,woken,despertar
wear,wore,worn,usar
weave,wove,woven,tejer
wed,wed,wed,casarse
weep,wept,wept,llorar
wet,wet,wet,mojar
win,won,won,ganar
wind,wound,wound,dar cuerda/olvidar
withdraw,withdrew,withdrawn,retirar/sacar
wring,wrung,wrung,exprimir/torcer
write,wrote,written,escribir
