verbo,pasado,pasado_participio,traduccion
ARISE,AROSE,ARISEN,SURGIR/LEVANTAR
AWAKE,AWOKE,AWOKEN,DESPERTARSE
BE/AM/ARE/IS,WAS/WERE,BEEN,SER/ESTAR
BEAR,BORE,BORN,SOPORTAR/DAR A LUZ
BEAT,BEAT,BEATEN,GOLPEAR
BECOME,BECAME,BECOME,LLEGAR A SER
BEGIN,BEGAN,BEGUN,EMPEZAR
BEND,BENT,BENT,DOBLAR
BET,BET,BET,APOSTAR
BIND,BOUND,BOUND,ATAR/ENCUADERNAR
BITE,BIT,BITTEN,MORDER
BLEED,BLED,BLED,SANGRAR
BLOW,BLEW,BLOWN,SOPLAR
BREAK,BROKE,BROKEN,ROMPER
BREED,BRED,BRED,CRIAR
BRING,BROUGHT,BROUGHT,TRAER/LLEVAR
BUILD,BUILT,BUILT,EDIFICAR/COSNTRUIR
BUY,BOUGHT,BOUGHT,COMPRAR
CAST,CAST,CAST,ARROJAR
CATCH,CAUGHT,CAUGHT,ATRAPAR

